Plot,Isolate_x,Isolate_y,SICA,escape_ratio_x_from_y,escape_ratio_y_from_x,alt_escape_ratio_x_from_y,alt_escape_ratio_y_from_x
3,3B,3F,Rifampicin,Inf,0.425911252,14.0962963,0.500562068
3,3B,3F,Streptomycin,NA,0.771790808,1.740740741,0.952625662
3,3B,3F,Streptothricin,Inf,0.005150555,56.08148148,0.004496547
3,3B,3F,Tetracycline,Inf,0.261093502,6.333333333,0.186285531
3,3B,3F,Vancomycin,Inf,0.476624406,9.4,0.66886141
3,3B,3G,Chloramphenicol,2.263157895,0.009965338,0.043,0.004974048
3,3B,3G,Rifampicin,187.4210526,0.199740035,5.732,0.256271626
3,3B,3G,Streptomycin,0,0.982668977,0.048,1.762975779
3,3B,3G,Streptothricin,87.63157895,0.11915078,5.021,0.131271626
3,3B,3G,Tetracycline,41,0.336655113,1.338,0.322880623
3,3B,3G,Vancomycin,36.68421053,0.446707106,2.906,0.663278547
3,3B,3H,Chloramphenicol,NA,0.518874644,0,0.182539683
3,3B,3H,Rifampicin,Inf,0.731125356,12.375,0.986344538
3,3B,3H,Streptomycin,NA,0.672720798,2.083333333,0.820494865
3,3B,3H,Streptothricin,Inf,0.254273504,66.58333333,0.262138189
3,3B,3H,Tetracycline,Inf,1.272435897,25,0.837535014
3,3B,3H,Vancomycin,Inf,0.048433048,272.4583333,0.089752568
3,3B,3I,Chloramphenicol,0,4.237894053,0,1.775971093
3,3B,3I,Rifampicin,76.8,0.160545986,14.43783784,0.219512195
3,3B,3I,Streptomycin,7.6,0.718882028,1.07027027,0.916505356
3,3B,3I,Streptothricin,12.4,0.347741306,5.254054054,0.625758162
3,3B,3I,Tetracycline,1.2,1.829054274,0.032432432,1.748483675
3,3B,3I,Vancomycin,52.4,0.435814105,8.378378378,0.570654278
3,3B,3J,Chloramphenicol,0,6.114754098,0,2.423608769
3,3B,3J,Rifampicin,2.663551402,0.388568897,2.961783439,0.592917369
3,3B,3J,Streptomycin,0.457943925,1.011962782,0.529936306,1.556998314
3,3B,3J,Streptothricin,0.289719626,0.662383695,0.243312102,1.417875211
3,3B,3J,Tetracycline,0.126168224,0.747895436,0.238216561,0.68920742
3,3B,3J,Vancomycin,1.018691589,0.545857333,0.931210191,1.211804384
3,3C,3D,Chloramphenicol,0,7.660483871,0,1.71211857
3,3C,3D,Rifampicin,7.768292683,0.073387097,8.935849057,0.118744551
3,3C,3D,Streptomycin,0.780487805,0.458870968,3.041509434,0.372624237
3,3C,3D,Streptothricin,1.213414634,0.511290323,2.030188679,0.609764603
3,3C,3D,Tetracycline,0,8.138709677,0,1.783086312
3,3C,3D,Vancomycin,2.262195122,0.350806452,4.650943396,0.418308631
3,3C,3E,Chloramphenicol,0,5.973227207,0,1.375393329
3,3C,3E,Rifampicin,0,1.360347323,0.594551282,1.215072373
3,3C,3E,Streptomycin,0.142857143,1.440665702,0.674679487,1.210667086
3,3C,3E,Streptothricin,44.8961039,0,11.12339744,0
3,3C,3E,Tetracycline,0,8.788712012,0,1.98190686
3,3C,3E,Vancomycin,0.792207792,0.945007236,1.112179487,1.033196979
3,3C,3F,Chloramphenicol,0,5.398794143,0,1.617675781
3,3C,3F,Rifampicin,0,0.84754522,1.515690377,0.730224609
3,3C,3F,Streptomycin,0,1.031007752,1.09623431,0.97265625
3,3C,3F,Streptothricin,107.7142857,0.011197244,7.10041841,0.006103516
3,3C,3F,Tetracycline,0,1.620155039,0,0.481201172
3,3C,3F,Vancomycin,1.517857143,0.763996555,2.14958159,0.733642578
3,3C,3G,Chloramphenicol,0.233695652,0.030666667,0.017608518,0.007385999
3,3C,3G,Rifampicin,18.53804348,0.682666667,2.214168714,0.38150289
3,3C,3G,Streptomycin,0,2.192,0.238329238,1.902697495
3,3C,3G,Streptothricin,7.385869565,0.389333333,1.752661753,0.207450225
3,3C,3G,Tetracycline,0,2.456,0.008599509,0.591522158
3,3C,3G,Vancomycin,4.983695652,0.901333333,1.681408681,0.74534361
3,3C,3H,Chloramphenicol,0,1.268059182,0,0.258512397
3,3C,3H,Rifampicin,1.176470588,1.930374238,0.576419214,1.445619835
3,3C,3H,Streptomycin,0.428571429,1.404699739,1.399563319,0.803305785
3,3C,3H,Streptothricin,2.453781513,0.641427328,2.823144105,0.449752066
3,3C,3H,Tetracycline,0,7.16362054,0.021834061,1.363966942
3,3C,3H,Vancomycin,50.26890756,0.066144473,17.92576419,0.081652893
3,3C,3I,Chloramphenicol,0,8.38585209,0,2.525601028
3,3C,3I,Rifampicin,9.027027027,0.29903537,2.780167264,0.309231052
3,3C,3I,Streptomycin,1.081081081,1.003858521,1.123058542,0.932831712
3,3C,3I,Streptothricin,0.945945946,0.786495177,0.838709677,0.983483208
3,3C,3I,Tetracycline,0,9.502893891,0,2.79115434
3,3C,3I,Vancomycin,10.7027027,0.487459807,2.833930705,0.605248669
3,3C,3J,Chloramphenicol,0,17.78479381,0,3.431709647
3,3C,3J,Rifampicin,1.207142857,1.166237113,1.055639098,0.86556829
3,3C,3J,Streptomycin,0.271428571,1.868556701,0.455639098,1.663085005
3,3C,3J,Streptothricin,0.083333333,1.869845361,0.06716792,2.180276982
3,3C,3J,Tetracycline,0,6.965206186,0,1.329035339
3,3C,3J,Vancomycin,1.088095238,0.878865979,0.644110276,1.3834766
3,3D,3E,Chloramphenicol,0.219806763,2.384615385,1.050946799,0.456830601
3,3D,3E,Rifampicin,0,20.93333333,0.096483318,4.233515483
